,Unnamed: 0,date,location,text
501,501,07-07-2020 16:38,India,RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
502,502,07-07-2020 16:38,"Dindori, India","RT @PIB_India: To strengthen Central Govt’s efforts to reduce COVID mortality, AIIMS Delhi starts Tele-Consultation guidance to State docto…"
503,503,07-07-2020 16:38,"Mumbai, India","RT @Teensthack: #Covid: am hearing there is a press briefing tom at 4, almost after a month. *Will the @ICMRDELHI talk abt the 15 Aug deadl…"
504,504,07-07-2020 16:37,"Chennai, India","RT @ishafoundation: Through stringent social distancing, hygiene and unique best practices, #IshaYogaCenter has remained #COVID-19 free thr…"
505,505,07-07-2020 16:37,India,"RT @Rajnish_IITR: SARS-CoV-2 remain suspended in the air: Dr @shekhar_mande DG @CSIR_IND

#COVID19 #COVID 

@SureshKKhanna @drdineshbjp @ja…"
506,506,07-07-2020 16:37,"Ibrahimpatan, India","RT @VamsiChandReddy: ""#Telangana govt @TelanganaCMO failed in controlling #COVID19 #CoronaVirus."" 
#Congress @INCIndia @INCTelangana demand…"
507,507,07-07-2020 16:37,"Hyderabad, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
508,507,07-07-2020 16:36,"New Delhi, India","RT @ishafoundation: Through stringent social distancing, hygiene and unique best practices, #IshaYogaCenter has remained #COVID-19 free thr…"
509,509,07-07-2020 16:36,"Hyderabad, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
510,510,07-07-2020 16:36,"Chennai, India","RT @ishafoundation: Through stringent social distancing, hygiene and unique best practices, #IshaYogaCenter has remained #COVID-19 free thr…"
511,511,07-07-2020 16:35,"Anantapur, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
512,512,07-07-2020 16:35,"Bilaspur, India","RT @PIB_India: Reimbursement of one pulse oximeter per family allowed under ECHS to fight #COVID19

The ECHS beneficiaries who have been te…"
513,513,07-07-2020 16:35,India,"RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
514,514,07-07-2020 16:35,"Guwahati, India","RT @himantabiswa: We have a long way to go in this fight against pandemic. With determination &amp; will, we shall win!

Visited Ayurvedic Coll…"
515,515,07-07-2020 16:34,"Chennai, India","RT @Vijayabaskarofl: As per data,the no of #childbirths has increased in Govt Hospitals during #COVID retaining the low mortality rates.Whi…"
516,516,07-07-2020 16:34,"Gobichettipalayam, India","RT @ishafoundation: Through stringent social distancing, hygiene and unique best practices, #IshaYogaCenter has remained #COVID-19 free thr…"
517,517,07-07-2020 16:34,India,#Webinar on #atmanirbharbharat for students and Guidance how to fight with changes due to #Covid… https://t.co/EN7dOyh7r7
518,518,07-07-2020 16:34,India ,RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
519,519,07-07-2020 16:33,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
520,520,07-07-2020 16:33,"Mumbai, India",RT @meeracomposes: Worrying news that #AkhilGogoi in prison since 200 days has shown #Covid symptoms and is not being given proper health c…
521,521,07-07-2020 16:33,"Ongole, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
522,522,07-07-2020 16:33,"New Delhi, India","RT @RTIExpress: From #Ventilators to #Coronatesting kits, from #Oxygen  equipment to PPE, how #Covid-19 prompted certain businesses to boom…"
523,523,07-07-2020 16:33,"Bilaspur, India","RT @COVIDNewsByMIB: #IndiaFightsCorona:

To strengthen Central Govt’s efforts to reduce #COVID mortality, @aiims_newdelhi starts Tele-Consu…"
524,524,07-07-2020 16:32,India,RT @Dev_Fadnavis: Nashik | Interacting with media after visits to #COVID hospitals.#CoronaInMaharashtra https://t.co/s0DumE4iMQ
525,525,07-07-2020 16:32,"Hyderabad, India","RT @ArshadRizwan: Happy to announce that Shifa Hospital in my constituency has now been converted into a 100-bed #COVID facility. 

Thank y…"
526,526,07-07-2020 16:31,"Vikarabad, India","RT @AdithyaMarri: 30 year old man dies on the road leaving his mother, wife and 9 month old baby! People are not dying with #Covid, they ar…"
527,527,07-07-2020 16:31,India,RT @Dev_Fadnavis: Nashik | Interacting with media after visits to #COVID hospitals.#CoronaInMaharashtra https://t.co/s0DumE4iMQ
528,528,07-07-2020 16:30,"Mumbai,Delhi, India",RT @Deepali_p: @rajuparulekar @rajeshtope11 @CMOMaharashtra Why cant there be adequate stock maintained at all #Covid hospitals? On daily b…
529,529,07-07-2020 16:30,"Hyderabad, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
530,530,07-07-2020 16:30,"Pune, Maharashtra, India","RT @ChoureySumit30: #Pune #PCMC
Most unethical of Maharashtra Electricity #MSEB to take undue advantage of #COVID #Lockdown to avoid meter…"
531,531,07-07-2020 16:29,India,RT @Dev_Fadnavis: Nashik | Interacting with media after visits to #COVID hospitals.#CoronaInMaharashtra https://t.co/s0DumE4iMQ
532,532,07-07-2020 16:29,"Davanagere, India","RT @ArshadRizwan: Happy to announce that Shifa Hospital in my constituency has now been converted into a 100-bed #COVID facility. 

Thank y…"
533,533,07-07-2020 16:29,"Ghaziabad, India","Organize International Webinar on ""LOOKING BEYOND HORIZONS - OPPORTUNITIES ABROAD"" With E-Certification
Timings -06… https://t.co/y0eFC3JCwT"
534,534,07-07-2020 16:28,India,RT @Dev_Fadnavis: Nashik | Interacting with media after visits to #COVID hospitals.#CoronaInMaharashtra https://t.co/s0DumE4iMQ
535,535,07-07-2020 16:28,"Hyderabad, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
536,536,07-07-2020 16:28,"Madhya Pradesh, India","RT @airnewsalerts: #Kerala: Commando unit does a Route March in Poonthura in Thiruvananthapuram, as #COVID cases through local transmission…"
537,537,07-07-2020 16:28,"Barpeta Road, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
538,538,07-07-2020 16:27,"Bilaspur, India","RT @COVIDNewsByMIB: #IndiaFightsCorona:

📍Steps to take when #COVID cases occur in offices

➡️In general, staff showing flu-like illness sh…"
539,539,07-07-2020 16:27,"Lakhipur.Goalpara,Assam, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
540,540,07-07-2020 16:27,"Tirupati, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
541,541,07-07-2020 16:27,"Hyderabad, AP India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
542,542,07-07-2020 16:27,"Mangalore, India","RT @ArshadRizwan: Happy to announce that Shifa Hospital in my constituency has now been converted into a 100-bed #COVID facility. 

Thank y…"
543,543,07-07-2020 16:27,"Assam, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
544,544,07-07-2020 16:26,"Bihar, India",#GandhiTrustProbe at this juncture is another way of headline management &amp; an attempt to digress frm issues like… https://t.co/E4TUwJteH7
545,545,07-07-2020 16:26,"Hyderabad, India","RT @Kurmanath: #Telangana #COVID update

New +ve cases -- 1,924
GHMC cases- 1,590
RR dist - 99
Deaths today - 11 (total deaths - 324)
Activ…"
546,546,07-07-2020 16:26,"Hyderabad, India","RT @TarunChilkur: People having trouble  wearing facemask and giving excuses that it is not comfortable, this is how a ventilator works.
No…"
548,548,07-07-2020 16:26,Ludhiana India,RT @BB_AshuOfficial: Cleanliness drive underway in different areas of Ludhiana (West) constituency. Have been monitoring the situation pers…
549,549,07-07-2020 16:26,"KA, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
550,550,07-07-2020 16:25,"Hyderabad, India","RT @Kurmanath: #Telangana #COVID update

New +ve cases -- 1,924
GHMC cases- 1,590
RR dist - 99
Deaths today - 11 (total deaths - 324)
Activ…"
551,551,07-07-2020 16:25,"Hyderabad, India","RT @Kurmanath: #Telangana #COVID update

New +ve cases -- 1,924
GHMC cases- 1,590
RR dist - 99
Deaths today - 11 (total deaths - 324)
Activ…"
552,552,07-07-2020 16:25,"Bengaluru, India","RT @ArshadRizwan: Happy to announce that Shifa Hospital in my constituency has now been converted into a 100-bed #COVID facility. 

Thank y…"
553,553,07-07-2020 16:25,"Bilaspur, India","RT @PIB_India: To strengthen Central Govt’s efforts to reduce COVID mortality, #AIIMS Delhi starts Tele-Consultation guidance to State doct…"
554,554,07-07-2020 16:25,"Bilaspur, India","RT @PIB_India: To strengthen Central Govt’s efforts to reduce COVID mortality, AIIMS Delhi starts Tele-Consultation guidance to State docto…"
555,555,07-07-2020 16:24,"Chennai, India","RT @NirupamaViswa: If anyone’s interesting in reading and understanding the doubling #COVID data tweeted by @chennaicorp ,this copy may hel…"
557,557,07-07-2020 16:24,"New Delhi, India","#Delhi govt modifies 'Revised #COVID Response Plan'. 

""A significant number of cases are being reported as isolate… https://t.co/JJSMKhuBiT"
558,558,07-07-2020 16:24,"Medchal, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
559,559,07-07-2020 16:23,Online/focus on India,RT @meeracomposes: Worrying news that #AkhilGogoi in prison since 200 days has shown #Covid symptoms and is not being given proper health c…
560,560,07-07-2020 16:23,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
561,561,07-07-2020 16:23,"egdt, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
562,562,07-07-2020 16:23,"Noida, India","RT @BDUTT: Meet the Jaipur-born Indian, now a UK Resident who has volunteered to be part of the much-talked about Oxford Vaccine Trial for…"
563,563,07-07-2020 16:23,"Karnataka, India",RT @IBCMedia_: We are launching LOOP - an open innovation challenge to build sustainable solutions to specific #ESG issues across industrie…
564,564,07-07-2020 16:22,"Bengaluru / Bangalore , India","RT @petleepeter: BENGALURU #COVID RISE, AGAIN 🚑 
Wednesday - 1148 +ve
Tuesday - 800 +ve
Monday - 981 +ve 
Sunday - 1235 +ve
Saturday - 1172…"
565,565,07-07-2020 16:22,"Kolkata, India","RT @RTIExpress: From #Ventilators to #Coronatesting kits, from #Oxygen  equipment to PPE, how #Covid-19 prompted certain businesses to boom…"
566,566,07-07-2020 16:22,"Bengaluru / Bangalore , India","RT @rakeshprakash1: #Karnataka #Covid update:

*A record 2062 positive cases today (1148 cases from #Bengaluru)

*54 deaths today (total: 4…"
567,567,07-07-2020 16:21,Salem India,"RT @ishafoundation: Through stringent social distancing, hygiene and unique best practices, #IshaYogaCenter has remained #COVID-19 free thr…"
568,568,07-07-2020 16:21,India,"RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
569,569,07-07-2020 16:21,India.,"RT @IndiaToday: It is good to see #India very much at the forefront of developing  #covid vaccine , says @WHO Chief Scientist @doctorsoumya…"
570,570,07-07-2020 16:21,"Pollachi, India",RT @Vijaykarthikeyn: #Covid #Death A 68 year old Covid postive male from Kolathupalaym Town panchayat admitted with breathless and fever si…
571,571,07-07-2020 16:20,India,"RT @airnewsalerts: #Kerala: Commando unit does a Route March in Poonthura in Thiruvananthapuram, as #COVID cases through local transmission…"
572,572,07-07-2020 16:20,"Kolkata, India","RT @News18Graphics: #Covid: Ten most-affected countries compared for key indicators 

#coronavirus https://t.co/QNNdItIGrq"
573,573,07-07-2020 16:20,India,"RT @NewsMeter_In: #JUSTIN: Medical Bulletin-#Telangana 
1924  new #COVID cases 
11 dead ( Death toll 324) 
992 discharged ( Total- 17,279)…"
574,574,07-07-2020 16:19, India,"RT @ishafoundation: Through stringent social distancing, hygiene and unique best practices, #IshaYogaCenter has remained #COVID-19 free thr…"
575,575,07-07-2020 16:19,India,"RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
576,576,07-07-2020 16:19,"Anantapur, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
577,577,07-07-2020 16:18,India ,"RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
578,578,07-07-2020 16:18,"Hyderabad, India","RT @prudzzz: #AndhraPradesh's war against #COVID (Protection of livelihoods)

1.#ysrmatsyakarabharosa
2. Zero Interest Loan Scheme
3. Crop…"
579,579,07-07-2020 16:18,"Chennai, India","RT @Rajnish_IITR: SARS-CoV-2 remain suspended in the air: Dr @shekhar_mande DG @CSIR_IND

#COVID19 #COVID 

@SureshKKhanna @drdineshbjp @ja…"
580,580,07-07-2020 16:17,"Hyderabad, India. (from శ్రీకా","#Telangana #COVID update

New +ve cases -- 1,924
GHMC cases- 1,590
RR dist - 99
Deaths today - 11 (total deaths - 3… https://t.co/6VjH1v7yvR"
581,581,07-07-2020 16:17,"Hyderabad, India","RT @ishafoundation: Through stringent social distancing, hygiene and unique best practices, #IshaYogaCenter has remained #COVID-19 free thr…"
582,582,07-07-2020 16:17,"Hyderabad, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
583,583,07-07-2020 16:17,"Chennai, India","RT @NirupamaViswa: If anyone’s interesting in reading and understanding the doubling #COVID data tweeted by @chennaicorp ,this copy may hel…"
584,584,07-07-2020 16:17,"Hyderabad, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
586,586,07-07-2020 16:16,"Ambikapur, India","RT @PIB_India: To strengthen Central Govt’s efforts to reduce COVID mortality, #AIIMS Delhi starts Tele-Consultation guidance to State doct…"
587,587,07-07-2020 16:16,"Ambikapur, India","RT @PIB_India: To strengthen Central Govt’s efforts to reduce COVID mortality, AIIMS Delhi starts Tele-Consultation guidance to State docto…"
588,588,07-07-2020 16:16,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
589,589,07-07-2020 16:16,India,"RT @IndiaToday: #Covid vaccine deadline realistic?  @doctorsoumya
responds. 
Watch the #exclusive conversation on #NewsToday. 
LIVE https:/…"
590,590,07-07-2020 16:15,"Pune, India",RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
591,591,07-07-2020 16:15,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
592,592,07-07-2020 16:15,"Hyderabad, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
593,593,07-07-2020 16:15,"Shrirampur, India",RT @Dev_Fadnavis: Nashik | Interacting with media after visits to #COVID hospitals.#CoronaInMaharashtra https://t.co/s0DumE4iMQ
594,594,07-07-2020 16:15,"Punjab, India",RT @ndtv: 500-bed #COVID care centre opens at Delhi's Commonwealth Games village https://t.co/ArS4ydy4gt https://t.co/bdeml5oo5R
595,595,07-07-2020 16:14,"Cochin, India","RT @NirupamaViswa: If anyone’s interesting in reading and understanding the doubling #COVID data tweeted by @chennaicorp ,this copy may hel…"
596,596,07-07-2020 16:14,"Mumbai, India","#SpiceJet Offers #COVID-19 Insurance Cover for Passengers Starting at Rs 443
@flyspicejet 
https://t.co/SKqLdAArIt"
597,597,07-07-2020 16:14,"Trivandrum, India","RT @xpresskerala: Fresh cases (single-day) cross the 300-mark for the first time. Total cases breach the 6,000-mark. Numbers continue to ri…"
598,598,07-07-2020 16:13,"New Delhi, India","RT @AICTE_INDIA: Panel Discussion @ #AICTEdge

Prof.@DileepMalkhede, Advisor, #AICTE would chair the panel discussion on ""Employability pos…"
599,599,07-07-2020 16:13,"Hyderabad, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
600,600,07-07-2020 16:13,"Bhubaneshwar, India",RT @otvnews: Members of #Odisha Chhatra Congress along with senior leader Sura Routray stage demonstration outside Congress Bhawan in Bhuba…
601,601,07-07-2020 16:13,"New Delhi, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
602,602,07-07-2020 16:13,"Vishakhapatnam, India",RT @MEPSCindia: Be a part of an #Online Conclave and take your #business one step ahead by going all digital. Witness the discussion on 18t…
603,603,07-07-2020 16:13,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
604,604,07-07-2020 16:13,India,"#Covid vaccine deadline realistic?  @doctorsoumya
responds. 
Watch the #exclusive conversation on #NewsToday. 
LIVE… https://t.co/5duhfPiShT"
605,605,07-07-2020 16:13,"Trivandrum, India",RT @xpresskerala: Daily tally of new #COVID cases cross the 300-mark for the first time. The day also sees the biggest spike in local trans…
606,606,07-07-2020 16:12,"Hyderabad, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
607,607,07-07-2020 16:12,"Hyderabad, India","RT @ishafoundation: Through stringent social distancing, hygiene and unique best practices, #IshaYogaCenter has remained #COVID-19 free thr…"
608,607,07-07-2020 16:12,"Hyderabad, India","@TOIHyderabad All is Ok Bt whn going to be gets tender of #Covid vaccine.
@TelanganaCMO @TelanganaHealth"
609,609,07-07-2020 16:12,"Mumbai, India","Uttarakhand reopens for tourism.  

Read more: https://t.co/03bLqsM7Pn 

#tourism #Uttarakhand #COVID #tourists https://t.co/F1fL8utHEj"
610,610,07-07-2020 16:12,"Bengaluru, India","RT @rakeshprakash1: #Karnataka #Covid update:

*A record 2062 positive cases today (1148 cases from #Bengaluru)

*54 deaths today (total: 4…"
611,611,07-07-2020 16:11,India,RT @sagarikaghose: Very disturbing news that a widely respected vaccine scientist and virologist like ⁦@GKangInd⁩ Gagandeep Kang has had to…
612,612,07-07-2020 16:11,India,"RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
613,613,07-07-2020 16:11,"Assam, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
614,614,07-07-2020 16:11,"Brahmapur, India","RT @IndiaToday: It is good to see #India very much at the forefront of developing  #covid vaccine , says @WHO Chief Scientist @doctorsoumya…"
615,615,07-07-2020 16:11,"Chennai, India",RT @xpresskerala: Daily tally of new #COVID cases cross the 300-mark for the first time. The day also sees the biggest spike in local trans…
616,616,07-07-2020 16:10,"Amalapuram, India",RT @shwetha0711: Here AP CM #Ysjagan is setting an example for rest of the state n country's leaders how to deal with #COVID with free test…
617,617,07-07-2020 16:10,"Chennai, India","RT @NirupamaViswa: If anyone’s interesting in reading and understanding the doubling #COVID data tweeted by @chennaicorp ,this copy may hel…"
618,618,07-07-2020 16:10,"Hyderabad, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
619,619,07-07-2020 16:10,"Goa, India",RT @shweta_kamat: #Goa reports biggest single day spike in #Covid-19 cases with 136 people testing positive today; total confirmed cases cr…
620,620,07-07-2020 16:10,"Pala,Kerala,India ","RT @airnewsalerts: #Kerala: Commando unit does a Route March in Poonthura in Thiruvananthapuram, as #COVID cases through local transmission…"
621,621,07-07-2020 16:10,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
622,622,07-07-2020 16:10,India,RT @sagarikaghose: Very disturbing news that a widely respected vaccine scientist and virologist like ⁦@GKangInd⁩ Gagandeep Kang has had to…
623,623,07-07-2020 16:10,"Gujarat, India","RT @rsrobin1: ""हमे अपने पापा के पास जाना हैं"",  Aahil Saif (5) with his twin sister &amp; mother urging @HMOIndia to reunite their family. They…"
624,624,07-07-2020 16:10,"Aligarh, Uttar Pradesh, India","RT @airnewsalerts: #Kerala: Commando unit does a Route March in Poonthura in Thiruvananthapuram, as #COVID cases through local transmission…"
625,625,07-07-2020 16:10,"Chittoor, India","#AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and… https://t.co/cWSRU4IaSl"
626,626,07-07-2020 16:10,"Jaipur, India",RT @Dev_Fadnavis: Nashik | Interacting with media after visits to #COVID hospitals.#CoronaInMaharashtra https://t.co/s0DumE4iMQ
627,627,07-07-2020 16:09,"New Delhi, India","RT @IndiaToday: It is good to see #India very much at the forefront of developing  #covid vaccine , says @WHO Chief Scientist @doctorsoumya…"
628,628,07-07-2020 16:09,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
629,629,07-07-2020 16:09,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
630,630,07-07-2020 16:09,"Thane, India","RT @IndiaToday: It is good to see #India very much at the forefront of developing  #covid vaccine , says @WHO Chief Scientist @doctorsoumya…"
631,631,07-07-2020 16:09,"Cochin, India","RT @xpresskerala: Fresh cases (single-day) cross the 300-mark for the first time. Total cases breach the 6,000-mark. Numbers continue to ri…"
632,632,07-07-2020 16:09,"Hyderabad, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
633,633,07-07-2020 16:09,"Sibsagar, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
634,634,07-07-2020 16:09,India,"RT @NirupamaViswa: If anyone’s interesting in reading and understanding the doubling #COVID data tweeted by @chennaicorp ,this copy may hel…"
635,635,07-07-2020 16:09,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
636,636,07-07-2020 16:07,"Panaji, India",#Goa reports biggest single day spike in #Covid-19 cases with 136 people testing positive today; total confirmed ca… https://t.co/Tv4t7HDIXh
638,638,07-07-2020 16:07,India,"It is good to see #India very much at the forefront of developing  #covid vaccine , says @WHO Chief Scientist… https://t.co/KqJ0vLWC1L"
639,639,07-07-2020 16:07,"Assam, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
640,640,07-07-2020 16:07,India,"RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
641,641,07-07-2020 16:07,"Chennai, India","RT @NirupamaViswa: If anyone’s interesting in reading and understanding the doubling #COVID data tweeted by @chennaicorp ,this copy may hel…"
642,642,07-07-2020 16:07,"Chennai, India","RT @NirupamaViswa: If anyone’s interesting in reading and understanding the doubling #COVID data tweeted by @chennaicorp ,this copy may hel…"
643,643,07-07-2020 16:07,"Nellore, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
644,644,07-07-2020 16:07,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
645,645,07-07-2020 16:07,"Delhi, India",RT @ndtv: 500-bed #COVID care centre opens at Delhi's Commonwealth Games village https://t.co/ArS4ydy4gt https://t.co/bdeml5oo5R
646,646,07-07-2020 16:07,India,"RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
647,647,07-07-2020 16:07,India,"RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
648,648,07-07-2020 16:07,"Hyderabad, India","RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
649,649,07-07-2020 16:07,India,"RT @samar11: Another day, another horrific #COVID death in #Bengaluru. Family, reporter contact 25 hospitals, minister, health officials. N…"
650,650,07-07-2020 16:07,"Chandigarh, India","RT @airnewsalerts: #Kerala: Commando unit does a Route March in Poonthura in Thiruvananthapuram, as #COVID cases through local transmission…"
651,651,07-07-2020 16:07,"Hyderabad, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
652,652,07-07-2020 16:06,"Kalaburagi, India","RT @MiraskarRavi: #Covid Pandemic

India statistics as on July-8 @8Am

@KarnatakaVarthe 
@Kalaburgivarthe 
@DHFWKA 
@csogok 
@iaspankajpand…"
653,653,07-07-2020 16:06,"Hyderabad, India","RT @ishafoundation: Through stringent social distancing, hygiene and unique best practices, #IshaYogaCenter has remained #COVID-19 free thr…"
654,654,07-07-2020 16:06,"Hyderabad, India","RT @revathitweets: #AndhraPradesh takes one more proactive step towards fighting #COVID19, includes #Covid treatment of suspected and confi…"
655,655,07-07-2020 16:06,"Cochin, India",RT @xpresskerala: Daily tally of new #COVID cases cross the 300-mark for the first time. The day also sees the biggest spike in local trans…
656,656,07-07-2020 16:06,India,"RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
657,657,07-07-2020 16:06,India ,"RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
658,658,07-07-2020 16:06,"Motihari Bihar, India",RT @ndtv: 500-bed #COVID care centre opens at Delhi's Commonwealth Games village https://t.co/ArS4ydy4gt https://t.co/bdeml5oo5R
659,659,07-07-2020 16:06,India,"RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
660,660,07-07-2020 16:06,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
661,661,07-07-2020 16:05,"Guwahati, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
662,662,07-07-2020 16:05,Delhi NCR India 🇮🇳,RT @ndtv: 500-bed #COVID care centre opens at Delhi's Commonwealth Games village https://t.co/ArS4ydy4gt https://t.co/bdeml5oo5R
